Distance in metres,Time in minutes,latitude,longitude
16702.608999999993,222.70145333333323,43.067887775209066,-2.6625801025001206
,,43.07165717816082,-2.6652653483401476
16702.608999999993,222.70145333333323,43.06922005457579,-2.66286946714884
16651.990999999998,222.02654666666663,43.07055233119576,-2.663158849269591
16370.041999999998,218.26722666666666,43.07211199965848,-2.661631136941588
16651.990999999998,222.02654666666663,43.07188460506907,-2.6634482488638183
16370.041999999998,218.26722666666666,43.0732168761958,-2.6637376659329766
17257.987999999998,230.10650666666663,43.0729894433213,-2.6655548048695974
17257.987999999998,230.10650666666663,43.07432170573488,-2.66584427887766
17657.626000000004,235.4350133333334,43.075426488272704,-2.6679509757787794
17257.987999999998,230.10650666666663,43.07565396540168,-2.6661337703657706
,,43.07675873922462,-2.668240524214246
16370.041999999998,218.26722666666666,43.07344427675068,-2.66192051454929
17257.987999999998,230.10650666666663,43.07454914457602,-2.664027100478499
16073.349999999995,214.31133333333327,43.07477655109675,-2.6622099096311374
16584.813999999995,221.13085333333325,43.0750039252967,-2.660392706337138
16073.349999999995,214.31133333333327,43.076108822696746,-2.6624993221885553
17278.005999999998,230.3734133333333,43.0758814102098,-2.664316552501842
16136.581999999995,215.15442666666658,43.07633620286214,-2.660682079427493
15800.406999999996,210.67209333333327,43.077668477681954,-2.6609714699926426
15800.406999999996,210.67209333333327,43.077441091550774,-2.6627887522230056
17278.005999999998,230.3734133333333,43.077213673097255,-2.6646060220044405
16136.385999999997,215.1518133333333,43.07880492349041,-2.6518848721618147
,,43.07857769897622,-2.6537022166132815
,,43.07679086622686,-2.657047556568299
16584.813999999995,221.13085333333325,43.07656355070563,-2.6588648242202204
15800.406999999996,210.67209333333327,43.077895831490444,-2.6591541753149164
,,43.07812315297589,-2.6573368681914027
,,43.078350442137925,-2.655519548623664
,,43.08059158936038,-2.648539277650414
,,43.08215103989268,-2.6470109660919725
,,43.08237814702541,-2.6451934929259235
,,43.08192390043286,-2.648828426820925
14865.747999999996,198.2099733333333,43.083256208762535,-2.649117593454912
,,43.08371046727548,-2.645482580588382
14865.747999999996,198.2099733333333,43.083483354182945,-2.647300093240766
15277.834999999995,203.7044666666666,43.08504278478356,-2.645771685711278
17278.005999999998,230.3734133333333,43.07698622232176,-2.666423279335378
,,43.078090987429526,-2.668530090134892
,,43.07831847649518,-2.6667128057879306
,,43.0794232328875,-2.6688196735421696
16286.519999999997,217.15359999999995,43.07965072792204,-2.667002349724878
15800.406999999996,210.67209333333327,43.07900074975624,-2.661260878034022
15885.866999999998,211.81156,43.07877335765889,-2.6630781997359265
15885.866999999998,211.81156,43.078545933238416,-2.664895508987754
15885.866999999998,211.81156,43.08033301908506,-2.661550303553088
15885.866999999998,211.81156,43.0801056210212,-2.663367664728767
15885.866999999998,211.81156,43.0798781906334,-2.665185013453219
,,43.08166528566852,-2.661839746551287
16286.519999999997,217.15359999999995,43.08143788163775,-2.6636571472029713
16286.519999999997,217.15359999999995,43.08121044528226,-2.6654745354022893
,,43.08299754950667,-2.662129207030057
16286.519999999997,217.15359999999995,43.08098297660245,-2.6672919111476596
16286.519999999997,217.15359999999995,43.080755475598636,-2.669109274437517
16626.777,221.69035999999997,43.08208771556299,-2.669398892822389
16286.519999999997,217.15359999999995,43.08231522253644,-2.6675814900577266
16286.519999999997,217.15359999999995,43.082542697185104,-2.6657640748364053
16286.519999999997,217.15359999999995,43.08277013950864,-2.6639466471599915
16546.781999999996,220.62375999999995,43.08432981059962,-2.662418684990848
16546.781999999996,220.62375999999995,43.08410239463393,-2.66423616460127
16546.781999999996,220.62375999999995,43.08387494634197,-2.6660536317570203
16546.781999999996,220.62375999999995,43.08566206894743,-2.6627081804351143
16546.781999999996,220.62375999999995,43.085434647013734,-2.664525699528255
16546.781999999996,220.62375999999995,43.08520719275298,-2.666343206165575
15708.288999999997,209.4438533333333,43.086994324550155,-2.662997693364291
16546.781999999996,220.62375999999995,43.0867668966481,-2.66481525194239
16626.777,221.69035999999997,43.08341995278065,-2.6696885286982295
16626.777,221.69035999999997,43.083647465724106,-2.667871086456528
16626.777,221.69035999999997,43.084979706165534,-2.6681607003455103
16675.386,222.33847999999998,43.08631194386078,-2.668450331726121
16546.781999999996,220.62375999999995,43.086539436418185,-2.666632798063523
15708.288999999997,209.4438533333333,43.088099143537114,-2.665104821845129
,,43.08787167733768,-2.666922407452309
15708.288999999997,209.4438533333333,43.08832657740792,-2.6632872237798346
15701.418999999994,209.35225333333327,43.089203915511526,-2.667212034333381
,,43.08943138768086,-2.665394409237914
15708.288999999997,209.4438533333333,43.089658827520765,-2.6635767716831866
15377.420999999995,205.03227999999993,43.090763629079426,-2.665684014122199
15701.418999999994,209.35225333333327,43.0905361509398,-2.6675016787081867
15377.420999999995,205.03227999999993,43.0909910748888,-2.663866337075797
16675.386,222.33847999999998,43.087644178809946,-2.6687399805998027
15701.418999999994,209.35225333333327,43.08897641101311,-2.6690296469680117
15701.418999999994,209.35225333333327,43.09030864047033,-2.6693193308321868
15537.929999999997,207.17239999999995,43.09164086718172,-2.6696090321937853
15312.495999999996,204.1666133333333,43.09186838362263,-2.6677913405781704
15377.420999999995,205.03227999999993,43.09209586773286,-2.6659736364994266
15377.420999999995,205.03227999999993,43.092323319512104,-2.6641559199591156
15312.495999999996,204.1666133333333,43.09342810364128,-2.6662632763710454
15312.495999999996,204.1666133333333,43.09320061356003,-2.6680810199447915
15312.495999999996,204.1666133333333,43.09297309114733,-2.6698987510542525
15377.420999999995,205.03227999999993,43.09365556139072,-2.664445520334589
14903.489999999998,198.71319999999997,43.09476033680473,-2.666552933738503
15312.495999999996,204.1666133333333,43.0945328407521,-2.6683707168094863
16022.123999999996,213.62831999999995,43.09430531236723,-2.6701884874150323
,,43.079682732105965,-2.655808838243553
,,43.07945543698012,-2.6576261972862683
15800.406999999996,210.67209333333327,43.07922810953009,-2.6594435438836155
,,43.08056038482466,-2.6597329299277592
,,43.08101501932967,-2.6560981453344072
,,43.08078771823964,-2.657915543854344
,,43.081892657374226,-2.6600223334487927
15044.147999999997,200.58863999999997,43.082119996754535,-2.6582049078970726
15044.147999999997,200.58863999999997,43.082347303809065,-2.656387469897686
15044.147999999997,200.58863999999997,43.08322492717886,-2.6603117544481707
,,43.08013722538368,-2.6521740828282963
,,43.079909994907275,-2.6539914667570383
,,43.08036442353484,-2.6503566864588963
,,43.081469524533325,-2.652463310961279
,,43.08124228809434,-2.6542807343695305
,,43.08169672864629,-2.65064587511122
14958.294999999998,199.44393333333332,43.082574578537496,-2.6545700194522044
14865.747999999996,198.2099733333333,43.08280182093946,-2.6527525565622034
14865.747999999996,198.2099733333333,43.08302903101458,-2.6509350812292474
14958.294999999998,199.44393333333332,43.083906866236845,-2.6548593220065078
15044.147999999997,200.58863999999997,43.08367958554431,-2.6566768119348234
15044.147999999997,200.58863999999997,43.083452272524866,-2.6584942894159034
15044.147999999997,200.58863999999997,43.08455719423865,-2.660601192927334
15062.995999999996,200.8399466666666,43.085011864535424,-2.656966171447279
15044.147999999997,200.58863999999997,43.084784545550704,-2.6587836884122833
15708.288999999997,209.4438533333333,43.085889458553666,-2.6608906488877233
15062.995999999996,200.8399466666666,43.086116815832156,-2.6590731048876606
15062.995999999996,200.8399466666666,43.08634414078251,-2.6572555484364884
15708.288999999997,209.4438533333333,43.08744908336928,-2.6593625388434785
14714.600999999995,196.19467999999995,43.08767641428564,-2.6575449429039013
14865.747999999996,198.2099733333333,43.084815665730865,-2.6475892378522397
14865.747999999996,198.2099733333333,43.08458851434948,-2.6494067775538137
15277.834999999995,203.7044666666666,43.08637509954975,-2.6460608082960624
14865.747999999996,198.2099733333333,43.0861479745365,-2.647878399927835
14865.747999999996,198.2099733333333,43.0859208171938,-2.6496959791190755
15277.834999999995,203.7044666666666,43.08770741157412,-2.646349948344175
14626.026999999995,195.01369333333326,43.08725311729556,-2.649985198152145
14626.026999999995,195.01369333333326,43.08748028059997,-2.648167579468999
13814.970999999998,184.1996133333333,43.0888125839213,-2.6484567764771785
14490.108999999993,193.20145333333323,43.088585414654844,-2.6502744346544613
14865.747999999996,198.2099733333333,43.08436133063979,-2.65122430481443
14865.747999999996,198.2099733333333,43.084134114602115,-2.653041819632522
14626.026999999995,195.01369333333326,43.085466405521416,-2.6533311001736704
14626.026999999995,195.01369333333326,43.085693627521984,-2.651513545868213
15062.995999999996,200.8399466666666,43.08523915119245,-2.6551486420338835
14626.026999999995,195.01369333333326,43.087025921661265,-2.651802804392034
14386.798999999995,191.82398666666663,43.08679869369742,-2.653620398187104
15062.995999999996,200.8399466666666,43.08657143340437,-2.6554379795357796
14490.108999999993,193.20145333333323,43.08835821305768,-2.652092080387351
14386.798999999995,191.82398666666663,43.088130979130206,-2.6539097136742646
15708.288999999997,209.4438533333333,43.087221720124,-2.661180122330797
15708.288999999997,209.4438533333333,43.08878134816216,-2.6596519902811804
14714.600999999995,196.19467999999995,43.0890086850449,-2.6578343548509604
15708.288999999997,209.4438533333333,43.08855397894971,-2.661469613257994
14838.363999999998,197.8448533333333,43.09034095306036,-2.658123784279125
15708.288999999997,209.4438533333333,43.0898862350309,-2.6617591216707637
14838.363999999998,197.8448533333333,43.09011361021087,-2.6599414592022232
15205.041999999998,202.73389333333333,43.09121848836762,-2.662048647570558
15004.860999999997,200.0648133333333,43.091673218332105,-2.658413231189832
15004.860999999997,200.0648133333333,43.09144586951551,-2.6602309456080433
14052.192999999996,187.36257333333327,43.089039720856746,-2.64663910585706
14052.192999999996,187.36257333333327,43.090372027397706,-2.6469282808361707
14039.926999999996,187.1990266666666,43.08991770927174,-2.6505636886274817
13814.970999999998,184.1996133333333,43.09014488450063,-2.648745990953815
13814.970999999998,184.1996133333333,43.091477182338,-2.649035222900355
13984.429999999993,186.4590666666666,43.091250001146285,-2.6508529600726445
13814.970999999998,184.1996133333333,43.09170433119708,-2.647217473282944
13918.964999999997,185.58619999999993,43.09280947743349,-2.6493244723182516
13918.964999999997,185.58619999999993,43.0925822902786,-2.6511422489913965
13621.438999999995,181.61918666666662,43.093036632254965,-2.6475066831988365
14714.600999999995,196.19467999999995,43.08790371287272,-2.655727334513638
14386.798999999995,191.82398666666663,43.08969050171135,-2.6523813738556
14714.600999999995,196.19467999999995,43.089463261819844,-2.654199046636602
14714.600999999995,196.19467999999995,43.089235989597576,-2.6560167069689165
14509.354999999996,193.4580666666666,43.09056826357901,-2.6563060969030468
14182.254999999994,189.09673333333325,43.09102278762232,-2.6526706847982355
14509.354999999996,193.4580666666666,43.09079554176644,-2.6544883970755593
14509.354999999996,193.4580666666666,43.09190053481708,-2.656595504317486
14182.254999999994,189.09673333333325,43.09235507079068,-2.6529600132167004
14349.768999999993,191.33025333333322,43.09212781897004,-2.6547777649925863
15205.041999999998,202.73389333333333,43.092550738959986,-2.6623381909588146
15004.860999999997,200.0648133333333,43.09300548086023,-2.6587026955845268
15163.751999999997,202.18335999999996,43.09277812607614,-2.6605204495000985
15077.715999999997,201.03621333333328,43.09388298680804,-2.662627751836991
14751.546999999995,196.6872933333333,43.09433774064477,-2.658992177464664
15077.715999999997,201.03621333333328,43.09411037989284,-2.6608099708798254
14751.546999999995,196.6872933333333,43.09566999768583,-2.659281676831685
14784.154999999995,197.12206666666663,43.09544263096568,-2.6610995097486807
14784.154999999995,197.12206666666663,43.095215231911865,-2.6629173302065317
14784.154999999995,197.12206666666663,43.09654747427157,-2.663206926068882
13498.029999999995,179.97373333333326,43.09436893057142,-2.6477959105852875
13621.438999999995,181.61918666666662,43.093914576668766,-2.6514315553851895
13621.438999999995,181.61918666666662,43.094141769787186,-2.6496137392089483
13498.029999999995,179.97373333333326,43.09570122614652,-2.648085155443744
13801.570999999996,184.02094666666662,43.09524686031685,-2.651720879255465
14285.437999999995,190.4725066666666,43.09547405939918,-2.649903023573887
13498.029999999995,179.97373333333326,43.09703351898035,-2.64837441777565
13801.570999999996,184.02094666666662,43.09657914122292,-2.6520102206036698
13801.570999999996,184.02094666666662,43.096806346269524,-2.6501923254145177
13533.822999999997,180.4509733333333,43.09791141938707,-2.652299579431252
14349.768999999993,191.33025333333322,43.09346009343075,-2.6550671503891277
14349.768999999993,191.33025333333322,43.09323280331188,-2.656884929213681
14349.768999999993,191.33025333333322,43.09368735121651,-2.6532493591124404
13912.760999999995,185.50347999999994,43.09479236514865,-2.6553565532666323
13912.760999999995,185.50347999999994,43.0945650690635,-2.657174371593075
13801.570999999996,184.02094666666662,43.095019628899884,-2.6535387224869016
13857.545999999998,184.76727999999997,43.0961246341238,-2.655645973626544
14114.196999999993,188.18929333333324,43.095897332072006,-2.6574638314571146
13801.570999999996,184.02094666666662,43.09635190384089,-2.6538281033415343
13764.977999999996,183.53303999999994,43.0976841760396,-2.654117501677785
14114.196999999993,188.18929333333324,43.09722959233747,-2.6577533088072536
13764.977999999996,183.53303999999994,43.09745690035629,-2.655935411470308
13533.822999999997,180.4509733333333,43.09901644549609,-2.6544069174971
13785.319999999996,183.80426666666662,43.09878916384619,-2.65622486679938
14330.468999999994,191.07291999999993,43.09856184985999,-2.6580428036449337
13785.319999999996,183.80426666666662,43.10012142459358,-2.6565143396152067
13785.319999999996,183.80426666666662,43.10034871221045,-2.6546963508009322
14207.018999999993,189.4269199999999,43.09989410463963,-2.658332315971603
13785.319999999996,183.80426666666662,43.101453682598546,-2.656803829919231
13785.319999999996,183.80426666666662,43.10168097618275,-2.654985801590714
14114.196999999993,188.18929333333324,43.09700225198351,-2.6595711936870434
14784.154999999995,197.12206666666663,43.09677487929475,-2.66138906610811
14330.468999999994,191.07291999999993,43.098334503537856,-2.6598607280321835
14330.468999999994,191.07291999999993,43.098107124880144,-2.6616786399595633
14434.078999999994,192.4543866666666,43.0978797138872,-2.663496539425491
14207.018999999993,189.4269199999999,43.09966675234897,-2.6601502798685552
14335.631999999994,191.14175999999992,43.09943936772193,-2.6619682313044812
14561.680999999993,194.1557466666666,43.09921195075888,-2.6637861702778105
14381.248999999993,191.7499866666666,43.10077160782017,-2.6622578401443158
14207.018999999993,189.4269199999999,43.10099899841691,-2.660439849197602
12596.308999999997,167.95078666666663,43.09904715107417,-2.643209781443502
13032.959999999995,173.77279999999993,43.09859295541077,-2.646845737983332
12802.399999999998,170.69866666666664,43.1001523686889,-2.6453169841897934
12591.814999999995,167.8908666666666,43.100379456313654,-2.6434989601801577
12958.792999999998,172.78390666666664,43.099925248725754,-2.6471349957521353
12836.820999999996,171.15761333333327,43.101484665226245,-2.6456062199164094
12926.156999999996,172.34875999999994,43.10125753930007,-2.64742427099649
12757.811999999994,170.10415999999992,43.10171175881321,-2.6437881563878878
12874.896999999997,171.6652933333333,43.10281695902335,-2.6458954731177844
